School Name,URL,State
Diablo Valley College,http://dvc.edu,CA
East Los Angeles College,http://elac.edu,CA
El Camino College,http://elcamino.edu,CA
Ex'pression College,http://expression.edu,CA
Foothill-De Anza Community College District,http://fhda.edu,CA
Fashion Institute of Design & Merchandising,http://fidm.edu,CA
Fielding Graduate University,http://fielding.edu,CA
Foothill College,http://foothill.edu,CA
Fresno Pacific University,http://fresno.edu,CA
Fresno City College,http://fresnocitycollege.edu,CA
Frederick Taylor University,http://ftu.edu,CA
Fullerton College,http://fullcoll.edu,CA
Fuller Theological Seminary,http://fuller.edu,CA
California State University Fullerton,http://fullerton.edu,CA
Gavilan College,http://gavilan.edu,CA
Golden Gate Baptist Theological Seminary,http://ggbts.edu,CA
Glendale Community College,http://glendale.edu,CA
Gnomon School of Visual Effects,http://gnomon.edu,CA
Columbia College,http://gocolumbia.edu,CA
Golden West College,http://goldenwestcollege.edu,CA
Grossmont College,http://grossmont.edu,CA
Allan Hancock College,http://hancockcollege.edu,CA
Hartnell College,http://hartnell.edu,CA
Henley-Putnam University,http://henley-putnam.edu,CA
Harvey Mudd College,http://hmc.edu,CA
Holy Names University,http://hnu.edu,CA
Humboldt State University,http://humboldt.edu,CA
Humphreys College,http://humphreys.edu,CA
Imperial Valley College,http://imperial.edu,CA
International Sports Sciences Association,http://issaonline.edu,CA
International Technological University,http://itu.edu,CA
Irvine Valley College,http://ivc.edu,CA
William Jessup University,http://jessup.edu,CA
John F. Kennedy University,http://jfku.edu,CA
Keck Graduate Institute,http://kgi.edu,CA
Mount Saint Mary's College,http://la.edu,CA
Los Angeles Community College District,http://laccd.edu,CA
Los Angeles City College,http://lacitycollege.edu,CA
Los Angeles Harbor College,http://lahc.edu,CA
Los Angeles Mission College,http://lamission.edu,CA
Laney College,http://laney.edu,CA
Los Angeles Southwest College,http://lasc.edu,CA
La Sierra University,http://lasierra.edu,CA
Las Positas College,http://laspositascollege.edu,CA
Los Angeles Trade-Tech Community College,http://lattc.edu,CA
Laurus College,http://lauruscollege.edu,CA
Los Angeles Valley College,http://lavc.edu,CA
University of La Verne,http://laverne.edu,CA
UCLA School of Law,http://ucla.edu,CA
Long Beach City College,http://lbcc.edu,CA
Life Chiropractic College West,http://lifewest.edu,CA
Loma Linda University,http://llu.edu,CA
Loyola Marymount University,http://lmu.edu,CA
Los Medanos College,http://losmedanos.edu,CA
Los Rios Community College District,http://losrios.edu,CA
Lake Tahoe Community College,http://ltcc.edu,CA
College of Marin,http://marin.edu,CA
Marymount California University,http://marymountcalifornia.edu,CA
The Master's College,http://masters.edu,CA
Merced Community College,http://mccd.edu,CA
Mills College,http://mills.edu,CA
MiraCosta College,http://miracosta.edu,CA
Modesto Junior College,http://mjc.edu,CA
Mount San Jacinto College,http://msjc.edu,CA
Mount San Antonio College,http://mtsac.edu,CA
Napa Valley College,http://napavalley.edu,CA
Notre Dame de Namur University,http://ndnu.edu,CA
NewSchool of Architecture and Design,http://newschoolarch.edu,CA
Norco College,http://norcocollege.edu,CA
Naval Postgraduate School,http://nps.edu,CA
Ohlone College,http://ohlone.edu,CA
Orange Coast College,http://orangecoastcollege.edu,CA
Otis College of Art and Design,http://otis.edu,CA
Occidental College,http://oxy.edu,CA
University of the Pacific,http://pacific.edu,CA
Pacific College of Oriental Medicine,http://pacificcollege.edu,CA
Palomar College,http://palomar.edu,CA
Pasadena City College,http://pasadena.edu,CA
Pepperdine University,http://pepperdine.edu,CA
Peralta Community College District,http://peralta.edu,CA
Pierce College,http://piercecollege.edu,CA
Pitzer College,http://pitzer.edu,CA
Pacific Lutheran Theological Seminary,http://plts.edu,CA
Point Loma Nazarene University,http://pointloma.edu,CA
Pomona College,http://pomona.edu,CA
Porterville College,http://portervillecollege.edu,CA
Pacific School of Religion,http://psr.edu,CA
Riverside City College,http://rcc.edu,CA
Riverside Community College District,http://rccd.edu,CA
University of Redlands,http://redlands.edu,CA
College of the Redwoods,http://redwoods.edu,CA
Rio Hondo College,http://riohondo.edu,CA
Rosemead College,http://rosemeadcollege.edu,CA
Santa Ana College,http://sac.edu,CA
Saddleback College,http://saddleback.edu,CA
University of San Diego,http://sandiego.edu,CA
Santa Rosa Junior College,http://santarosa.edu,CA
Santa Barbara City College,http://sbcc.edu,CA
School of Continuing Education,http://sce.edu,CA
Scripps College,http://scrippscollege.edu,CA
Santa Clara University,http://scu.edu,CA
Southern California University of Health Sciences,http://scuhs.edu,CA
San Diego City College,http://sdcity.edu,CA
San Diego Mesa College,http://sdmesa.edu,CA
San Diego State University,http://sdsu.edu,CA
San Francisco State University,http://sfsu.edu,CA
Shasta College,http://shastacollege.edu,CA
The Institute of Buddhist Studies,http://shin-ibs.edu,CA
Sierra College,http://sierracollege.edu,CA
Simpson University,http://simpsonu.edu,CA
College of the Siskiyous,http://siskiyous.edu,CA
San Jose State University,http://sjsu.edu,CA
Starr King School for the Ministry,http://sksm.edu,CA
Skyline College,http://skylinecollege.edu,CA
Santa Monica College,http://smc.edu,CA
San Mateo County Community College,http://smccd.edu,CA
Soka University of America,http://soka.edu,CA
Solano Community College,http://solano.edu,CA
Sonoma State University,http://sonoma.edu,CA
Stanford University,http://stanford.edu,CA
Saint Mary's College,http://stmarys-ca.edu,CA
Taft College,http://taftcollege.edu,CA
Touro University California,http://tu.edu,CA
University of California Davis,http://ucdavis.edu,CA
University of California Hastings College of the Law,http://uchastings.edu,CA
University of California Irvine,http://uci.edu,CA
University of California Los Angeles,http://ucla.edu,CA
University of California Los Angeles Extension,http://uclaextension.edu,CA
University of California Merced,http://ucmerced.edu,CA
University of California,http://ucop.edu,CA
University of California Press,http://ucpress.edu,CA
University of California Riverside,http://ucr.edu,CA
University of California Santa Barbara,http://ucsb.edu,CA
University of California Santa Cruz,http://ucsc.edu,CA
University of California Santa Cruz Silicon Valley Extension,http://ucsc-extension.edu,CA
University of California San Diego,http://ucsd.edu,CA
University of California San Francisco,http://ucsf.edu,CA
University of California,http://universityofcalifornia.edu,CA
University of the Pacific,http://uop.edu,CA
University of Southern California,http://usc.edu,CA
University of San Francisco,http://usfca.edu,CA
San Bernardino Valley College,http://valleycollege.edu,CA
Ventura College,http://venturacollege.edu,CA
Victor Valley College,http://vvc.edu,CA
West Coast Baptist College,http://wcbc.edu,CA
Western University of Health Sciences,http://westernu.edu,CA
Westmont College,http://westmont.edu,CA
West Valley College,http://westvalley.edu,CA
West Hills Community College District,http://whccd.edu,CA
Whittier College,http://whittier.edu,CA
West Los Angeles College,http://wlac.edu,CA
Yuba Community College District,http://yccd.edu,CA
Yosemite Community College District,http://yosemite.edu,CA
Unitek College,http://unitekcollege.edu,CA
Vanguard University,http://vanguard.edu,CA
Southwestern College,http://swcc.edu,CA
Monterey Institute of International Studies,http://miis.edu,CA
Adams State University,http://adams.edu,CO
Auraria Higher Education Center,http://ahec.edu,CO
Aims Community College,http://aims.edu,CO
Arapahoe Community College,http://arapahoe.edu,CO
Community College of Aurora,http://ccaurora.edu,CO
Community College of Denver,http://ccd.edu,CO
Colorado Heights University,http://chu.edu,CO
University of Colorado Boulder,http://colorado.edu,CO
Colorado College,http://coloradocollege.edu,CO
Colorado Mesa University,http://coloradomesa.edu,CO
Colorado State University,http://colostate.edu,CO
Colorado State University-Pueblo,http://colostate-pueblo.edu,CO
University of Denver,http://du.edu,CO
Fort Lewis College,http://fortlewis.edu,CO
Front Range Community College,http://frontrange.edu,CO
Jones International University,http://jiu.edu,CO
Colorado School of Mines,http://mines.edu,CO
Metropolitan State University of Denver,http://msudenver.edu,CO
Naropa University,http://naropa.edu,CO
Pikes Peak Community College,http://ppcc.edu,CO
Pueblo Community College,http://pueblocc.edu,CO
Redstone College,http://redstone.edu,CO
Regis University,http://regis.edu,CO
University of the Rockies,http://rockies.edu,CO
Red Rocks Community College,http://rrcc.edu,CO
William Howard Taft University,http://taft.edu,CO
University Corporation for Atmospheric Research,http://ucar.edu,CO
University of Colorado Colorado Springs,http://uccs.edu,CO
University of Colorado Denver,http://ucdenver.edu,CO
University of Northern Colorado,http://unco.edu,CO
University of Colorado,http://cu.edu,CO
Western State Colorado University,http://western.edu,CO
Albertus Magnus College,http://albertus.edu,CT
Asnuntuck Community College,http://asnuntuck.edu,CT
Connecticut College,http://conncoll.edu,CT
Eastern Connecticut State University,http://easternct.edu,CT
Fairfield University,http://fairfield.edu,CT
Goodwin College,http://goodwin.edu,CT
University of Hartford,http://hartford.edu,CT
Hartford Seminary,http://hartsem.edu,CT
University of New Haven,http://newhaven.edu,CT
Queens University of Charlotte,http://quinnipiac.edu,CT
Quinebaug Valley Community College,http://qvcc.edu,CT
Sacred Heart University,http://sacredheart.edu,CT
Southern Connecticut State University,http://southernct.edu,CT
Three Rivers Community College,http://threerivers.edu,CT
Trinity College,http://trincoll.edu,CT
Tunxis Community College,http://tunxis.edu,CT
University of Connecticut Health Center,http://uchc.edu,CT
University of Connecticut,http://uconn.edu,CT
University of Saint Joseph Connecticut,http://usj.edu,CT
Western Connecticut State University,http://wcsu.edu,CT
Wesleyan University,http://wesleyan.edu,CT
Yale University,http://yale.edu,CT
American University,http://american.edu,DC
Carnegie Institution for Science,http://carnegiescience.edu,DC
The Catholic University of America,http://cua.edu,DC
Gallaudet University,http://gallaudet.edu,DC
Georgetown University,http://georgetown.edu,DC
The George Washington University,http://gwu.edu,DC
Howard University,http://howard.edu,DC
Johns Hopkins School of Advanced International Studies,http://sais-jhu.edu,DC
University of California Washington Center,http://ucdc.edu,DC
University of the District of Columbia,http://udc.edu,DC
Delaware State University,http://desu.edu,DE
Delaware Technical Community College,http://dtcc.edu,DE
Goldey-Beacom College,http://gbc.edu,DE
University of Delaware,http://udel.edu,DE
Wesley College,http://wesley.edu,DE
Wilmington University,http://wilmu.edu,DE
Carlos Albizu University,http://albizu.edu,FL
Acupuncture Massage College,http://amcollege.edu,FL
Atlantic Institute of Oriental Medicine,http://atom.edu,FL
Barry University,http://barry.edu,FL
Broward College,http://broward.edu,FL
College of Central Florida,http://cf.edu,FL
Chipola College,http://chipola.edu,FL
Bethune-Cookman University,http://cookman.edu,FL
Dade Medical College,http://dadmedical.edu,FL
Daytona State College,http://daytonastate.edu,FL
Eckerd College,http://eckerd.edu,FL
Edison State College,http://edison.edu,FL
Embry-Riddle Aeronautical University,http://erau.edu,FL
Everglades University,http://evergladesuniversity.edu,FL
Florida Atlantic University,http://fau.edu,FL
Florida Gulf Coast University,http://fgcu.edu,FL
Florida Institute of Technology,http://fit.edu,FL
Florida International University,http://fiu.edu,FL
Flagler College,http://flagler.edu,FL
Florida Southern College,http://flsouthern.edu,FL
Florida National University,http://fnu.edu,FL
Florida State College at Jacksonville,http://fscj.edu,FL
Florida State University,http://fsu.edu,FL
Gulf Coast State College,http://gulfcoast.edu,FL
Hillsborough Community College,http://hccfl.edu,FL
Jacksonville University,http://ju.edu,FL
Keiser University,http://keiseruniversity.edu,FL
Loraines Academy Incorporated,http://lorainesacademy.edu,FL
Lake Sumter State College,http://lssc.edu,FL
Lynn University,http://lynn.edu,FL
Millennia Atlantic University,http://maufl.edu,FL
Miami Dade College,http://mdc.edu,FL
University of Miami,http://miami.edu,FL
Miami International University of Art and Design,http://mymiu.edu,FL
New College of Florida,http://ncf.edu,FL
North Florida Community College,http://nfcc.edu,FL
Nova Southeastern University,http://nova.edu,FL
National University of Health Sciences,http://nuhs.edu,FL
Northwest Florida State College,http://nwfsc.edu,FL
Palm Beach State College,http://palmbeachstate.edu,FL
Palm Beach Atlantic University,http://pba.edu,FL
Pensacola State College,http://pensacolastate.edu,FL
Pasco-Hernando State College,http://phsc.edu,FL
Ringling College of Art and Design,http://ringling.edu,FL
Rollins College,http://rollins.edu,FL
Saint Leo University,http://saintleo.edu,FL
State College of Florida,http://scf.edu,FL
Seminole State College of Florida,http://seminolestate.edu,FL
Santa Fe College,http://sfcollege.edu,FL
South Florida State College,http://southflorida.edu,FL
Space Coast Health Institute,http://spacecoast.edu,FL
Saint Petersburg College,http://spcollege.edu,FL
Stetson University,http://stetson.edu,FL
Saint Thomas University,http://stu.edu,FL
Saint Vincent de Paul Regional Seminary,http://svdp.edu,FL
Traviss Career Center,http://traviss.edu,FL
University of Central Florida,http://ucf.edu,FL
University of Florida,http://ufl.edu,FL
University of North Florida,http://unf.edu,FL
University of South Florida,http://usf.edu,FL
University of South Florida Sarasota-Manatee,http://usfsm.edu,FL
University of South Florida Saint Petersburg,http://usfsp.edu,FL
University of Tampa,http://ut.edu,FL
University of West Florida,http://uwf.edu,FL
Valencia College,http://valenciacollege.edu,FL
Warner University,http://warner.edu,FL
Webber International University,http://webber.edu,FL
Agnes Scott College,http://agnesscott.edu,GA
Albany Technical College,http://albanytech.edu,GA
Armstrong Atlantic State University,http://armstrong.edu,GA
Atlanta Technical College,http://atlantatech.edu,GA
Atlanta Metropolitan State College,http://atlm.edu,GA
Berry College,http://berry.edu,GA
Carver College,http://carver.edu,GA
Child Care Education Institute,http://cceionline.edu,GA
Central Georgia Technical College,http://centralgatech.edu,GA
Clayton State University,http://clayton.edu,GA
Columbus State University,http://columbusstate.edu,GA
Columbus Technical College,http://columbustech.edu,GA
Covenant College,http://covenant.edu,GA
Dalton State,http://daltonstate.edu,GA
Darton State College,http://darton.edu,GA
East Georgia State College,http://ega.edu,GA
Emory University,http://emory.edu,GA
Georgia Institute of Technology,http://gatech.edu,GA
Georgia College,http://gcsu.edu,GA
Georgia Southern University,http://georgiasouthern.edu,GA
Georgia Gwinnett College,http://ggc.edu,GA
Georgia Perimeter College,http://gpc.edu,GA
Georgia Regents University Augusta,http://gru.edu,GA
Georgia State University,http://gsu.edu,GA
Georgia South Western State University,http://gsw.edu,GA
Interactive College of Technology,http://ict.edu,GA
Atlanta's John Marshall Law School,http://johnmarshall.edu,GA
Kennesaw State University,http://kennesaw.edu,GA
Lanier Technical College,http://laniertech.edu,GA
Life University,http://life.edu,GA
Mercer University,http://mercer.edu,GA
Middle Georgia State College,http://mga.edu,GA
Morehouse College,http://morehouse.edu,GA
Morehouse School of Medicine,http://msm.edu,GA
North Georgia Technical College,http://northgatech.edu,GA
Oglethorpe University,http://oglethorpe.edu,GA
Okefenokee Technical College,http://okefenokeetech.edu,GA
Paine College,http://paine.edu,GA
Pfeiffer University,http://pfeiffer.edu,GA
Piedmont College,http://piedmont.edu,GA
Reinhardt University,http://reinhardt.edu,GA
Savannah State University,http://savannahstate.edu,GA
Savannah College of Art and Design,http://scad.edu,GA
Shorter University,http://shorter.edu,GA
Southeastern Technical College,http://southeasterntech.edu,GA
Spelman College,http://spelman.edu,GA
Southern Polytechnic State University,http://spsu.edu,GA
Thomas University,http://thomasu.edu,GA
University of Georgia,http://uga.edu,GA
University of North Georgia,http://ung.edu,GA
University System of Georgia,http://usg.edu,GA
Valdosta State University,http://valdosta.edu,GA
University of West Georgia,http://westga.edu,GA
Wiregrass Georgia Technical College,http://wiregrass.edu,GA
Brigham Young University Hawaii,http://byuh.edu,HI
Chaminade University,http://chaminade.edu,HI
University of Hawaii at Manoa,http://hawaii.edu,HI
Mid-Pacific Institute,http://midpac.edu,HI
AIB College of Business,http://aib.edu,IA
Central College,http://central.edu,IA
Coe College,http://coe.edu,IA
Cornell College,http://cornellcollege.edu,IA
Des Moines Area Community College,http://dmacc.edu,IA
Dordt College,http://dordt.edu,IA
Drake University,http://drake.edu,IA
Divine Word College,http://dwci.edu,IA
Eastern Iowa Community Colleges,http://eicc.edu,IA
Grinnell College,http://grinnell.edu,IA
Hawkeye Community College,http://hawkeyecollege.edu,IA
Iowa State University,http://iastate.edu,IA
Iowa Central Community College,http://iowacentral.edu,IA
Iowa Wesleyan College,http://iwc.edu,IA
Iowa Western Community College,http://iwcc.edu,IA
Kaplan University,http://kaplanuniversity.edu,IA
Kirkwood Community College,http://kirkwood.edu,IA
La' James College,http://lajames.edu,IA
Loras College,http://loras.edu,IA
Luther College,http://luther.edu,IA
Maharishi University of Management,http://mum.edu,IA
Northeast Iowa Community College,http://nicc.edu,IA
Palmer College of Chiropractic,http://palmer.edu,IA
Saint Ambrose University,http://sau.edu,IA
Simpson College,http://simpson.edu,IA
Southwestern Community College,http://swcciowa.edu,IA
Univeristy of Iowa,http://uiowa.edu,IA
Upper Iowa University,http://uiu.edu,IA
University of Northern Iowa,http://uni.edu,IA
Wartburg College,http://wartburg.edu,IA
Waldorf College,http://waldorf.edu,IA
Boise State University,http://boisestate.edu,ID
Brigham Young University Idaho,http://byui.edu,ID
The College of Idaho,http://collegeofidaho.edu,ID
College of Southern Idaho,http://csi.edu,ID
Idaho State University,http://isu.edu,ID
University of Idaho,http://uidaho.edu,ID
Augustana College,http://augustana.edu,IL
Aurora University,http://aurora.edu,IL
Benedictine University,http://ben.edu,IL
Bradley University,http://bradley.edu,IL
City Colleges of Chicago,http://ccc.edu,IL
The University of Chicago Booth School of Business,http://chicagobooth.edu,IL
College of Lake County,http://clcillinois.edu,IL
College of DuPage,http://cod.edu,IL
Columbia College Chicago,http://colum.edu,IL
Danville Area Community College,http://dacc.edu,IL
DePaul University,http://depaul.edu,IL
Dominican University,http://dom.edu,IL
Eastern Illinois University,http://eiu.edu,IL
Elmhurst College,http://elmhurst.edu,IL
Governors State,http://govst.edu,IL
Greenville College,http://greenville.edu,IL
The Hadley School for the Blind,http://hadley.edu,IL
Harper College,http://harpercollege.edu,IL
Heartland Community College,http://heartland.edu,IL
Illinois Central College,http://icc.edu,IL
Illinois College of Optometry,http://ico.edu,IL
Illinois Institute of Technology,http://iit.edu,IL
University of Illinois at Urbana-Champaign,http://illinois.edu,IL
Illinois State University,http://illinoisstate.edu,IL
Illinois Mathematics and Science Academy,http://imsa.edu,IL
Illinois Valley Community College,http://ivcc.edu,IL
Illinois Wesleyan University,http://iwu.edu,IL
John A. Logan College,http://jalc.edu,IL
Joliet Junior College,http://jjc.edu,IL
The John Marshall Law School,http://jmls.edu,IL
Judson University,http://judsonu.edu,IL
Kaskaskia College,http://kaskaskia.edu,IL
Kankakee Community College,http://kcc.edu,IL
IIT Chicago-Kent College of Law,http://iit.edu,IL
Kishwaukee College,http://kishwaukeecollege.edu,IL
Knox College,http://knox.edu,IL
Lake Forest College,http://lakeforest.edu,IL
Lakeview College of Nursing,http://lakeviewcol.edu,IL
Lewis and Clark Community College,http://lc.edu,IL
Lewis University,http://lewisu.edu,IL
Lincoln Land Community College,http://llcc.edu,IL
Loyola University Chicago,http://luc.edu,IL
Midwestern Career College,http://mccollege.edu,IL
McHenry County College,http://mchenry.edu,IL
McKendree University,http://mckendree.edu,IL
Midwestern University,http://midwestern.edu,IL
Monmouth College,http://monmouthcollege.edu,IL
Moraine Valley Community College,http://morainevalley.edu,IL
Morton College,http://morton.edu,IL
Northeastern Illinois University,http://neiu.edu,IL
Northern Illinois University,http://niu.edu,IL
National Louis University,http://nl.edu,IL
North Park University,http://northpark.edu,IL
Northwestern University,http://northwestern.edu,IL
Oakton Community College,http://oakton.edu,IL
Olivet Nazarene University,http://olivet.edu,IL
Chicago ORT Technical Institute,http://ortchicagotech.edu,IL
Parkland College,http://parkland.edu,IL
Prairie State College,http://prairiestate.edu,IL
Principia College,http://principiacollege.edu,IL
Resurrection University,http://resu.edu,IL
Robert Morris University Illinois,http://robertmorris.edu,IL
Rockford University,http://rockford.edu,IL
Rock Valley College,http://rockvalleycollege.edu,IL
Roosevelt University,http://roosevelt.edu,IL
Rosalind Franklin University,http://rosalindfranklin.edu,IL
Saint Anthony College of Nursing,http://sacn.edu,IL
School of the Art Institute of Chicago,http://saic.edu,IL
Saint Francis Medical Center College of Nursing,http://sfmccon.edu,IL
Shawnee Community College,http://shawneecc.edu,IL
Southeastern Illinois College,http://sic.edu,IL
Southern Illinois University,http://siu.edu,IL
Southern Illinois University Edwardsville,http://siue.edu,IL
Spoon River College,http://src.edu,IL
South Suburban College,http://ssc.edu,IL
University of Saint Francis,http://stfrancis.edu,IL
Southwestern Illinois College,http://swic.edu,IL
Saint Xavier University,http://scu.edu,IL
Trinity Christian College,http://trnty.edu,IL
University of Chicago,http://uchicago.edu,IL
University of Illinois at Chicago,http://uic.edu,IL
University of Illinois,http://uillinois.edu,IL
University of Illinois Springfield,http://uis.edu,IL
University of Illinois at Urbana-Champaign,http://illinois.edu,IL
Waubonsee Community College,http://waubonsee.edu,IL
Wheaton College,http://wheaton.edu,IL
Western Illinois University,http://wiu.edu,IL
Saint John's College,http://stjohnscollegespringfield.edu,Ill
Anabaptist Mennonite Biblical Seminary,http://ambs.edu,IN
Anderson University,http://anderson.edu,IN
Bethel College Indiana,http://bethelcollege.edu,IN
Brown Mackie College,http://brownmackie.edu,IN
Ball State University,http://bsu.edu,IN
Butler University,http://butler.edu,IN
DePauw University,http://depauw.edu,IN
Earlham College,http://earlham.edu,IN
University of Evansville,http://evansville.edu,IN
Goshen College,http://goshen.edu,IN
Grace College and Seminary,http://grace.edu,IN
Hanover College,http://hanover.edu,IN
Harrison College,http://harrison.edu,IN
Holy Cross College,http://hcc-nd.edu,IN
Indiana University,http://indiana.edu,IN
Indiana State University,http://indstate.edu,IN
Indiana Wesleyan University,http://indwes.edu,IN
Indiana University - Purdue University Fort Wayne,http://ipfw.edu,IN
Indiana University,http://iu.edu,IN
Indiana University Bloomington,http://iub.edu,IN
Indiana University East,http://iue.edu,IN
Indiana University Northwest,http://iun.edu,IN
